 ,Label,Area,Mean,Min,Max,X,Y
143,,20.291,255,255,255,3177.928,191.441
144,,40.581,255,255,255,5063.063,191.441
145,,81.162,255,255,255,5126.126,193.694
146,,20.291,255,255,255,5835.586,191.441
147,,20.291,255,255,255,3164.414,195.946
148,,20.291,255,255,255,5849.099,195.946
149,,20.291,255,255,255,3146.396,200.450
150,,40.581,255,255,255,4396.396,200.450
151,,20.291,255,255,255,5862.613,200.450
152,,20.291,255,255,255,3132.883,204.955
153,,40.581,255,255,255,5126.126,204.955
154,,20.291,255,255,255,5876.126,204.955
155,,20.291,255,255,255,3119.369,209.459
156,,20.291,255,255,255,5894.144,209.459
157,,20.291,255,255,255,3105.856,213.964
158,,40.581,255,255,255,3481.982,213.964
159,,20.291,255,255,255,5907.658,213.964
160,,20.291,255,255,255,3092.342,218.468
161,,40.581,255,255,255,4463.964,218.468
162,,20.291,255,255,255,5921.171,218.468
163,,20.291,255,255,255,3078.829,222.973
164,,81.162,255,255,255,3488.739,225.225
165,,20.291,255,255,255,5934.685,222.973
166,,20.291,255,255,255,3065.315,227.477
167,,60.872,255,255,255,4907.658,227.477
168,,20.291,255,255,255,5948.198,227.477
169,,20.291,255,255,255,3051.802,231.982
170,,40.581,255,255,255,5851.351,231.982
171,,20.291,255,255,255,5961.712,231.982
172,,20.291,255,255,255,3038.288,236.486
173,,60.872,255,255,255,3475.225,236.486
174,,40.581,255,255,255,5342.342,236.486
175,,20.291,255,255,255,5975.225,236.486
176,,20.291,255,255,255,3024.775,240.991
177,,40.581,255,255,255,3067.568,240.991
178,,20.291,255,255,255,5984.234,240.991
179,,20.291,255,255,255,3011.261,245.495
180,,20.291,255,255,255,5997.748,245.495
181,,20.291,255,255,255,2997.748,250.000
182,,40.581,255,255,255,3099.099,250.000
183,,20.291,255,255,255,6011.261,250.000
184,,20.291,255,255,255,2988.739,254.505
185,,20.291,255,255,255,6024.775,254.505
186,,20.291,255,255,255,2975.225,259.009
187,,142.034,255,255,255,3412.162,263.514
188,,20.291,255,255,255,6038.288,259.009
189,,20.291,255,255,255,2961.712,263.514
190,,20.291,255,255,255,6047.297,263.514
191,,20.291,255,255,255,2948.198,268.018
192,,81.162,255,255,255,6067.568,271.396
193,,20.291,255,255,255,2939.189,272.523
194,,20.291,255,255,255,2925.676,277.027
195,,40.581,255,255,255,3418.919,277.027
196,,20.291,255,255,255,6087.838,277.027
197,,20.291,255,255,255,2912.162,281.532
198,,20.291,255,255,255,6096.847,281.532
199,,20.291,255,255,255,2903.153,286.036
200,,20.291,255,255,255,6110.360,286.036
201,,20.291,255,255,255,2889.640,290.541
202,,40.581,255,255,255,5346.847,290.541
203,,20.291,255,255,255,6119.369,290.541
204,,20.291,255,255,255,2880.631,295.045
205,,40.581,255,255,255,4270.270,295.045
206,,20.291,255,255,255,6132.883,295.045
207,,20.291,255,255,255,2867.117,299.550
208,,20.291,255,255,255,6146.396,299.550
209,,20.291,255,255,255,2853.604,304.054
210,,20.291,255,255,255,6155.405,304.054
211,,20.291,255,255,255,2844.595,308.559
212,,162.324,255,255,255,3545.045,310.811
213,,142.034,255,255,255,4570.463,309.846
214,,20.291,255,255,255,6168.919,308.559
215,,20.291,255,255,255,2831.081,313.063
216,,40.581,255,255,255,4653.153,313.063
217,,40.581,255,255,255,5846.847,313.063
218,,20.291,255,255,255,6177.928,313.063
219,,20.291,255,255,255,2822.072,317.568
220,,20.291,255,255,255,6191.441,317.568
221,,20.291,255,255,255,2808.559,322.072
222,,20.291,255,255,255,6200.450,322.072
223,,20.291,255,255,255,2799.550,326.577
224,,40.581,255,255,255,4752.252,326.577
225,,81.162,255,255,255,4779.279,328.829
226,,20.291,255,255,255,6213.964,326.577
227,,20.291,255,255,255,2790.541,331.081
228,,20.291,255,255,255,6222.973,331.081
229,,20.291,255,255,255,2777.027,335.586
230,,20.291,255,255,255,6236.486,335.586
231,,20.291,255,255,255,2768.018,340.090
232,,40.581,255,255,255,3054.054,340.090
233,,40.581,255,255,255,4432.432,340.090
234,,20.291,255,255,255,6245.495,340.090
235,,20.291,255,255,255,2754.505,344.595
236,,20.291,255,255,255,6254.505,344.595
237,,20.291,255,255,255,2745.495,349.099
238,,40.581,255,255,255,5351.351,349.099
239,,20.291,255,255,255,6268.018,349.099
240,,20.291,255,255,255,2736.486,353.604
241,,40.581,255,255,255,5842.342,353.604
242,,20.291,255,255,255,6277.027,353.604
243,,20.291,255,255,255,2722.973,358.108
244,,40.581,255,255,255,4536.036,358.108
245,,20.291,255,255,255,6286.036,358.108
246,,20.291,255,255,255,2713.964,362.613
247,,20.291,255,255,255,6299.550,362.613
248,,20.291,255,255,255,2704.955,367.117
249,,40.581,255,255,255,4409.910,367.117
250,,20.291,255,255,255,6308.559,367.117
251,,20.291,255,255,255,2691.441,371.622
252,,40.581,255,255,255,3774.775,371.622
253,,20.291,255,255,255,6317.568,371.622
254,,20.291,255,255,255,2682.432,376.126
255,,40.581,255,255,255,4666.667,376.126
256,,40.581,255,255,255,4765.766,376.126
257,,101.453,255,255,255,5309.459,378.829
258,,81.162,255,255,255,5346.847,378.378
259,,20.291,255,255,255,6331.081,376.126
260,,20.291,255,255,255,2673.423,380.631
261,,60.872,255,255,255,2858.108,380.631
262,,40.581,255,255,255,4490.991,380.631
263,,60.872,255,255,255,4506.757,380.631
264,,20.291,255,255,255,6340.090,380.631
265,,20.291,255,255,255,2664.414,385.135
266,,40.581,255,255,255,5274.775,385.135
267,,20.291,255,255,255,6349.099,385.135
268,,20.291,255,255,255,2650.901,389.640
269,,20.291,255,255,255,6358.108,389.640
270,,20.291,255,255,255,2641.892,394.144
271,,40.581,255,255,255,5351.351,394.144
272,,20.291,255,255,255,6367.117,394.144
273,,20.291,255,255,255,2632.883,398.649
274,,20.291,255,255,255,6380.631,398.649
275,,20.291,255,255,255,2623.874,403.153
276,,40.581,255,255,255,3450.450,403.153
277,,20.291,255,255,255,6389.640,403.153
278,,20.291,255,255,255,2614.865,407.658
279,,40.581,255,255,255,4324.324,407.658
280,,40.581,255,255,255,4500.000,407.658
281,,40.581,255,255,255,5382.883,407.658
282,,20.291,255,255,255,6398.649,407.658
283,,20.291,255,255,255,2601.351,412.162
284,,40.581,255,255,255,4139.640,412.162
285,,20.291,255,255,255,6407.658,412.162
286,,20.291,255,255,255,2592.342,416.667
287,,20.291,255,255,255,6416.667,416.667
288,,20.291,255,255,255,2583.333,421.171
289,,40.581,255,255,255,5076.577,421.171
290,,60.872,255,255,255,6146.396,421.171
291,,20.291,255,255,255,6425.676,421.171
292,,20.291,255,255,255,2574.324,425.676
293,,20.291,255,255,255,6439.189,425.676
294,,20.291,255,255,255,2565.315,430.180
295,,40.581,255,255,255,4369.369,430.180
296,,20.291,255,255,255,6448.198,430.180
297,,20.291,255,255,255,2556.306,434.685
298,,40.581,255,255,255,3067.568,434.685
299,,20.291,255,255,255,6457.207,434.685
300,,20.291,255,255,255,2547.297,439.189
301,,40.581,255,255,255,4319.820,439.189
302,,20.291,255,255,255,6466.216,439.189
303,,20.291,255,255,255,2538.288,443.694
304,,20.291,255,255,255,6475.225,443.694
305,,20.291,255,255,255,2529.279,448.198
306,,81.162,255,255,255,3117.117,448.198
307,,40.581,255,255,255,5252.252,448.198
308,,20.291,255,255,255,6484.234,448.198
309,,20.291,255,255,255,2520.270,452.703
310,,20.291,255,255,255,6493.243,452.703
311,,20.291,255,255,255,2511.261,457.207
312,,40.581,255,255,255,4490.991,457.207
313,,20.291,255,255,255,6502.252,457.207
314,,20.291,255,255,255,2502.252,461.712
315,,40.581,255,255,255,3914.414,461.712
